City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Afaahiti,-17.75,-149.2833,21.93,75,94,7.61,PF,1691596855
1,Adamstown,-25.066,-130.1015,20.12,67,60,10.66,PN,1691596955
2,Edinburgh Of The Seven Seas,-37.0676,-12.3116,11.06,67,40,9.44,SH,1691596501
3,Arkhangel'Sk,64.5401,40.5433,22.88,59,1,1.71,RU,1691596955
4,Marica,-22.9194,-42.8186,23.97,72,86,6.3,BR,1691596956
5,Waitangi,-43.9535,-176.5597,8.79,83,58,3.13,NZ,1691596495
6,Lerwick,60.1545,-1.1494,13.0,74,100,12.6,GB,1691596956
7,Hermanus,-34.4187,19.2345,17.11,77,0,4.41,ZA,1691596956
8,Port-Aux-Francais,-49.35,70.2167,2.44,75,20,8.47,TF,1691596501
9,Chonchi,-42.6128,-73.8092,11.18,92,100,7.64,CL,1691596861
10,Kodiak,57.79,-152.4072,11.73,94,100,1.54,US,1691596884
11,Holualoa,19.6228,-155.9522,23.91,78,100,5.14,US,1691596610
12,Villa Gesell,-37.2639,-56.973,16.7,70,75,6.63,AR,1691596957
13,Colonia,50.9333,6.95,24.42,50,0,3.6,DE,1691596478
14,Puerto Ayora,-0.7393,-90.3518,26.98,84,97,2.68,EC,1691596508
15,Laguna De Perlas,12.3429,-83.6712,27.93,85,98,3.3,NI,1691596957
16,Ust-Nera,64.5667,143.2,12.08,77,38,1.76,RU,1691596541
17,Dudinka,69.4058,86.1778,20.9,58,70,6.13,RU,1691596561
18,Lebu,-37.6167,-73.65,13.51,72,100,8.02,CL,1691596645
19,Ushuaia,-54.8,-68.3,3.81,81,0,0.51,AR,1691596503
20,Blackmans Bay,-43.0167,147.3167,12.07,68,100,2.93,AU,1691596535
21,Samalut,28.3121,30.7101,37.22,14,0,4.56,EG,1691596958
22,Neyshabur,36.2133,58.7958,28.9,19,57,4.58,IR,1691596958
23,Urangan,-25.3,152.9,17.1,72,13,3.37,AU,1691596959
24,Kupang,-10.1667,123.5833,23.44,77,21,4.89,ID,1691596605
25,La Sarre,48.8002,-79.1996,24.57,46,19,4.21,CA,1691596959
26,Veinticinco De Mayo,-35.4323,-60.1727,17.77,60,46,3.13,AR,1691596959
27,Iqaluit,63.7506,-68.5145,4.85,86,100,3.09,CA,1691596959
28,Isafjordur,66.0755,-23.124,14.02,51,0,6.69,IS,1691596521
29,Petropavlovsk-Kamchatsky,53.0452,158.6483,13.33,77,0,4.0,RU,1691596959
30,Nogliki,51.8333,143.1667,13.0,88,100,4.49,RU,1691596960
31,Portland,45.5234,-122.6762,22.12,71,20,1.54,US,1691596152
